Title,Authors,Read Status,Dates Read,Moods,Star Rating,Review
The Lies I Tell,Julie Clark,to-read,,,,
Killing Me,Michelle Gagnon,to-read,,,,
Please Don't Sit on My Bed in Your Outside Clothes,Phoebe Robinson,to-read,,,,
Broken (in the Best Possible Way),Jenny Lawson,read,,,2.5,
The Paris Apartment,Lucy Foley,read,2023/03/15-2023/03/24,"dark, mysterious, tense",4.0,
The Perfect Marriage,Jeneva Rose,read,2023/10/20-2023/10/28,,2.75,
Ripe,Sarah Rose Etter,to-read,,,,
Crying in H Mart,Michelle Zauner,read,2024/02/19-2024/02/26,,,
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,read,2023/09/17-2023/09/17,,3.75,<div>Started out great. Dragged on a bit towards the end.&nbsp;</div>
Spare,Prince Harry,read,2023/11/09-2023/11/21,,3.5,
Milk Teeth,Jessica Andrews,to-read,,,,
Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté,to-read,,,,
"Madly, Deeply: The Diaries of Alan Rickman",Alan Rickman,to-read,,,,
The Night Shift,Alex Finlay,read,2023/12/31-2024/01/08,"dark, mysterious, tense",4.0,
Idiot: Life Stories from the Creator of Help Helen Smash,Laura Clery,to-read,,,,
Beartown,Fredrik Backman,read,2024/03/12-2024/03/21,,3.0,
In the Dream House,Carmen Maria Machado,to-read,,,,
The Invisible Life of Addie LaRue,V.E. Schwab,read,2024/01/08-2024/01/21,"challenging, dark, emotional, hopeful, sad",4.5,
Untamed,Glennon Doyle,to-read,,,,
Living the Life Unexpected: 12 Weeks to Your Plan B for a Meaningful and Fulfilling Future Without Children,Jody Day,to-read,,,,
Demon Copperhead,Barbara Kingsolver,read,2024/01/21-2024/02/01,"challenging, emotional, hopeful, sad",3.25,
Everyone In My Family Has Killed Someone,Benjamin Stevenson,to-read,,,,
The Marriage Act,John Marrs,to-read,,,,
Before the Coffee Gets Cold,Toshikazu Kawaguchi,to-read,,,,
"Words on the Move: Why English Won't - And Can't - Sit Still (Like, Literally)",John McWhorter,to-read,,,,
Maame,Jessica George,to-read,,,,
The Song of Achilles,Madeline Miller,to-read,,,,
The Heaven & Earth Grocery Store,James McBride,to-read,,,,
Eleanor Oliphant Is Completely Fine,Gail Honeyman,read,2024/02/04-2024/02/19,,5.0,
Tom Lake,Ann Patchett,read,2024/03/22-2024/04/02,,4.5,
Lolita,Vladimir Nabokov,to-read,,,,
She Who Wins,Renée Bauer,to-read,,,,
"8 Rules of Love: How to Find It, Keep It, and Let It Go",Jay Shetty,did-not-finish,,,,
My Name Is Barbra,Barbra Streisand,read,2023/12/20-2024/01/16,,3.0,
Abroad in Japan,Chris Broad,read,2024/05/31-2024/06/07,lighthearted,2.5,
A Good Girl's Guide to Murder,Holly Jackson,read,2023/02/23-2023/03/14,"dark, emotional, funny, mysterious, tense",4.75,
Born a Crime: Stories from a South African Childhood,Trevor Noah,to-read,,,,
The Marriage Portrait,Maggie O'Farrell,currently-reading,,,,
The Rachel Incident,Caroline O'Donoghue,to-read,,,,
The Goldfinch,Donna Tartt,to-read,,,,
